# 1+z    dE_HI/dt [eV s^-1]    dE_HeI/dt [eV s^-1]    dE_HeII/dt [eV s^-1]

59

1.000000000000000000e+00 2.279999999999999877e-13 2.489999999999999992e-13 2.080000000000000035e-14
1.049099999999999921e+00 2.810000000000000143e-13 3.060000000000000088e-13 2.500000000000000076e-14
1.100999999999999979e+00 3.439999999999999983e-13 3.749999999999999672e-13 2.999999999999999839e-14
1.155000000000000027e+00 4.189999999999999817e-13 4.579999999999999670e-13 3.589999999999999723e-14
1.211000000000000076e+00 5.089999999999999516e-13 5.579999999999999448e-13 4.279999999999999812e-14
1.270999999999999908e+00 6.150000000000000048e-13 6.759999999999999468e-13 5.080000000000000190e-14
1.332999999999999963e+00 7.399999999999999770e-13 8.149999999999999604e-13 5.999999999999999677e-14
1.399000000000000021e+00 8.849999999999999650e-13 9.769999999999999769e-13 7.070000000000000419e-14
1.467999999999999972e+00 1.049999999999999969e-12 1.170000000000000063e-12 8.270000000000000355e-14
1.540000000000000036e+00 1.239999999999999967e-12 1.379999999999999976e-12 9.630000000000000366e-14
1.614999999999999991e+00 1.460000000000000039e-12 1.619999999999999963e-12 1.109999999999999940e-13
1.694999999999999840e+00 1.700000000000000026e-12 1.889999999999999823e-12 1.280000000000000099e-13
1.778000000000000025e+00 1.969999999999999886e-12 2.189999999999999756e-12 1.449999999999999880e-13
1.864999999999999991e+00 2.260000000000000064e-12 2.510000000000000008e-12 1.640000000000000080e-13
1.956999999999999851e+00 2.559999999999999997e-12 2.849999999999999771e-12 1.830000000000000028e-13
2.049999999999999822e+00 2.879999999999999845e-12 3.200000000000000097e-12 2.010000000000000018e-13
2.149999999999999911e+00 3.200000000000000097e-12 3.550000000000000019e-12 2.180000000000000051e-13
2.259999999999999787e+00 3.519999999999999945e-12 3.879999999999999623e-12 2.330000000000000169e-13
2.370000000000000107e+00 3.810000000000000123e-12 4.170000000000000205e-12 2.429999999999999743e-13
2.490000000000000213e+00 4.060000000000000068e-12 4.409999999999999990e-12 2.460000000000000120e-13
2.610000000000000320e+00 4.260000000000000023e-12 4.580000000000000275e-12 2.429999999999999743e-13
2.740000000000000213e+00 4.420000000000000149e-12 4.680000000000000253e-12 2.330000000000000169e-13
2.870000000000000107e+00 4.520000000000000127e-12 4.699999999999999764e-12 2.180000000000000051e-13
3.009999999999999787e+00 4.549999999999999797e-12 4.630000000000000264e-12 1.979999999999999894e-13
3.160000000000000142e+00 4.520000000000000127e-12 4.459999999999999979e-12 1.719999999999999992e-13
3.319999999999999840e+00 4.430000000000000309e-12 4.199999999999999875e-12 1.420000000000000008e-13
3.479999999999999982e+00 4.289999999999999694e-12 3.860000000000000112e-12 1.069999999999999985e-13
3.649999999999999911e+00 4.099999999999999897e-12 3.450000000000000042e-12 6.989999999999999750e-14
3.830000000000000071e+00 3.889999999999999782e-12 3.029999999999999812e-12 3.449999999999999814e-14
4.019999999999999574e+00 3.689999999999999827e-12 2.749999999999999793e-12 1.579999999999999957e-14
4.209999999999999964e+00 3.500000000000000031e-12 2.540000000000000082e-12 8.999999999999999516e-15
4.419999999999999929e+00 3.319999999999999990e-12 2.379999999999999956e-12 6.170000000000000468e-15
4.640000000000000568e+00 3.170000000000000023e-12 2.240000000000000149e-12 4.510000000000000315e-15
4.870000000000000107e+00 3.039999999999999971e-12 2.149999999999999926e-12 3.379999999999999703e-15
5.110000000000000320e+00 2.939999999999999993e-12 2.089999999999999778e-12 2.560000000000000183e-15
5.360000000000000320e+00 2.859999999999999930e-12 2.049999999999999949e-12 1.939999999999999969e-15
5.620000000000000107e+00 2.809999999999999941e-12 2.039999999999999789e-12 1.439999999999999930e-15
5.889999999999999680e+00 2.790000000000000027e-12 2.039999999999999789e-12 1.059999999999999869e-15
6.179999999999999716e+00 2.759999999999999953e-12 2.049999999999999949e-12 7.719999999999999227e-16
6.490000000000000213e+00 2.679999999999999890e-12 1.999999999999999960e-12 5.579999999999999952e-16
6.809999999999999609e+00 2.290000000000000138e-12 1.659999999999999995e-12 4.019999999999999255e-16
7.139999999999999680e+00 1.860000000000000089e-14 3.209999999999999701e-14 2.819999999999999971e-16
7.490000000000000213e+00 4.410000000000000268e-15 7.649999999999999273e-15 1.449999999999999896e-16
7.860000000000000320e+00 2.049999999999999785e-15 3.550000000000000098e-15 8.030000000000000567e-17
8.250000000000000000e+00 1.319999999999999953e-15 2.260000000000000042e-15 4.540000000000000186e-17
8.650000000000000355e+00 9.579999999999999869e-16 1.630000000000000060e-15 2.559999999999999937e-17
9.070000000000000284e+00 7.440000000000000594e-16 1.259999999999999964e-15 1.429999999999999941e-17
9.519999999999999574e+00 6.019999999999999213e-16 1.019999999999999811e-15 7.950000000000000068e-18
9.990000000000000213e+00 4.990000000000000226e-16 8.489999999999999906e-16 4.460000000000000150e-18
1.048000000000000043e+01 4.209999999999999877e-16 7.190000000000000476e-16 2.580000000000000138e-18
1.099000000000000021e+01 3.579999999999999994e-16 6.150000000000000340e-16 1.559999999999999981e-18
1.150000000000000000e+01 3.080000000000000251e-16 5.309999999999999509e-16 1.010000000000000018e-18
1.209999999999999964e+01 2.649999999999999673e-16 4.589999999999999643e-16 6.959999999999999943e-19
1.269999999999999929e+01 2.269999999999999908e-16 3.939999999999999928e-16 5.000000000000000358e-19
1.330000000000000071e+01 1.959999999999999801e-16 3.389999999999999865e-16 3.720000000000000235e-19
1.400000000000000000e+01 1.689999999999999851e-16 2.930000000000000279e-16 2.819999999999999728e-19
1.469999999999999929e+01 1.469999999999999974e-16 2.549999999999999528e-16 2.129999999999999933e-19
1.540000000000000036e+01 1.280000000000000092e-16 2.209999999999999919e-16 1.579999999999999971e-19
1.610000000000000142e+01 1.110000000000000041e-16 1.919999999999999891e-16 9.999999999999999752e-20
