# 1+z    dE_HI/dt [K s^-1]    dE_HeI/dt [K s^-1]    dE_HeII/dt [K s^-1]

59

1.000000000000000000e+00 2.645830131713473322e-09 2.889525012266030217e-09 2.413739769282467130e-10
1.049099999999999921e+00 3.260869592155640704e-09 3.550982545194398341e-09 2.901129530387580506e-10
1.100999999999999979e+00 3.991954233813310975e-09 4.351694295581369932e-09 3.481355436465096504e-10
1.155000000000000027e+00 4.862293092929584300e-09 5.314869299670047223e-09 4.166022005636564999e-10
1.211000000000000076e+00 5.906699723869112786e-09 6.475321111825078598e-09 4.966733756023537934e-10
1.270999999999999908e+00 7.136778644753447549e-09 7.844654250168016829e-09 5.895095205747563117e-10
1.332999999999999963e+00 8.587343409947236975e-09 9.457682269063511954e-09 6.962710872930193008e-10
1.399000000000000021e+00 1.026999853757203383e-08 1.133761420475466373e-08 8.204394311936078267e-10
1.467999999999999972e+00 1.218474402762783813e-08 1.357728620221387776e-08 9.596936486522117076e-10
1.540000000000000036e+00 1.438960247072239799e-08 1.601423500773944506e-08 1.117515095105296009e-09
1.614999999999999991e+00 1.694259645746347148e-08 1.879931935691152102e-08 1.288101511492085588e-09
1.694999999999999840e+00 1.972768080663554744e-08 2.193253924973010565e-08 1.485378319558441327e-09
1.778000000000000025e+00 2.286090069945413207e-08 2.541389468619520226e-08 1.682655127624796446e-09
1.864999999999999991e+00 2.622621095470372910e-08 2.912734048509130795e-08 1.903140971934252763e-09
1.956999999999999851e+00 2.970756639116882240e-08 3.307287664641841612e-08 2.123626816243709080e-09
2.049999999999999822e+00 3.342101219006492479e-08 3.713445798896103048e-08 2.332508142431614694e-09
2.149999999999999911e+00 3.713445798896103048e-08 4.119603933150364484e-08 2.529784950497970020e-09
2.259999999999999787e+00 4.084790378785712956e-08 4.502553031161524681e-08 2.703852722321225181e-09
2.370000000000000107e+00 4.421321404310672659e-08 4.839084056686484384e-08 2.819897903536728070e-09
2.490000000000000213e+00 4.711434357349430544e-08 5.117592491603691980e-08 2.854711457901379351e-09
2.610000000000000320e+00 4.943524719780436984e-08 5.314869299670047554e-08 2.819897903536728070e-09
2.740000000000000213e+00 5.129197009725242269e-08 5.430914480885551105e-08 2.703852722321225181e-09
2.870000000000000107e+00 5.245242190940745820e-08 5.454123517128651021e-08 2.529784950497970020e-09
3.009999999999999787e+00 5.280055745305396025e-08 5.372891890277798998e-08 2.297694588066963414e-09
3.160000000000000142e+00 5.245242190940745820e-08 5.175615082211443425e-08 1.995977116906655488e-09
3.319999999999999840e+00 5.140801527846792558e-08 4.873897611051135251e-08 1.647841573260145785e-09
3.479999999999999982e+00 4.978338274145087851e-08 4.479343994918424103e-08 1.241683439005884432e-09
3.649999999999999911e+00 4.757852429835631699e-08 4.003558751934860933e-08 8.111558166963674095e-10
3.830000000000000071e+00 4.514157549283074970e-08 3.516168990829747474e-08 4.003558751934860540e-10
4.019999999999999574e+00 4.282067186852068530e-08 3.191242483426338061e-08 1.833513863204950874e-10
4.209999999999999964e+00 4.061581342542612378e-08 2.947547602873781662e-08 1.044406630939528848e-10
4.419999999999999929e+00 3.852700016354706515e-08 2.761875312928976377e-08 7.159987680996549420e-11
4.640000000000000568e+00 3.678632244531452181e-08 2.599412059227272332e-08 5.233637672819195278e-11
4.870000000000000107e+00 3.527773508951297763e-08 2.494971396133319070e-08 3.922327125084008699e-11
5.110000000000000320e+00 3.411728327735794874e-08 2.425344287404017005e-08 2.970756639116882343e-11
5.360000000000000320e+00 3.318892182763391901e-08 2.378926214917815850e-08 2.251276515580762219e-11
5.620000000000000107e+00 3.260869592155640456e-08 2.367321696796265230e-08 1.671050609503246157e-11
5.889999999999999680e+00 3.237660555912539878e-08 2.367321696796265230e-08 1.230078920884333994e-11
6.179999999999999716e+00 3.202847001547889011e-08 2.378926214917815850e-08 8.958687989836847953e-12
6.490000000000000213e+00 3.110010856575486038e-08 2.320903624310064405e-08 6.475321111825079341e-12
6.809999999999999609e+00 2.657434649835023777e-08 1.926350008177353258e-08 4.665016284863228638e-12
7.139999999999999680e+00 2.158440370608360050e-10 3.725050317017652675e-10 3.272474110277190848e-12
7.490000000000000213e+00 5.117592491603692001e-11 8.877456362985995853e-11 1.682655127624796589e-12
7.860000000000000320e+00 2.378926214917815565e-11 4.119603933150364076e-11 9.318428051604908500e-13
8.250000000000000000e+00 1.531796392044642418e-11 2.622621095470372835e-11 5.268451227183845809e-13
8.650000000000000355e+00 1.111712836044520800e-11 1.891536453812702642e-11 2.970756639116882263e-13
9.070000000000000284e+00 8.633761482433440199e-12 1.462169283315340387e-11 1.659446091381696007e-13
9.519999999999999574e+00 6.985919909173292565e-12 1.183660848398132587e-11 9.225591906632506371e-14
9.990000000000000213e+00 5.790654542653611040e-12 9.852235885196223316e-12 5.175615082211443806e-14
1.048000000000000043e+01 4.885502129172685285e-12 8.343648529394682006e-12 2.993965675359983426e-14
1.099000000000000021e+01 4.154417487515015415e-12 7.136778644753448473e-12 1.810304826961850223e-14
1.150000000000000000e+01 3.574191581437499433e-12 6.161999122543220364e-12 1.172056330276582589e-14
1.209999999999999964e+01 3.075197302210834986e-12 5.326473817791596963e-12 8.076744612599023273e-15
1.269999999999999929e+01 2.634225613591922904e-12 4.572180139890826307e-12 5.802259060775161458e-15
1.330000000000000071e+01 2.274485551823862761e-12 3.933931643205558768e-12 4.316880741216720043e-15
1.400000000000000000e+01 1.961163562542004188e-12 3.400123809614244759e-12 3.272474110277190491e-15
1.469999999999999929e+01 1.705864163867897172e-12 2.959152120995331466e-12 2.471762359890218295e-15
1.540000000000000036e+01 1.485378319558441333e-12 2.564598504862620954e-12 1.833513863204950740e-15
1.610000000000000142e+01 1.288101511492085673e-12 2.228067479337661596e-12 1.160451812155032134e-15
