# 1+z  nHeII/nHe  nHeIII/nHe

2000

1.000000000000000000e+00 8.078726030484380694e-04 9.991921227396476368e-01
1.004013217854913043e+00 8.036480872929476242e-04 9.991963473008987906e-01
1.008042541627377275e+00 7.988020568212119473e-04 9.992011934004277895e-01
1.012088035953948362e+00 7.939262563121237889e-04 9.992060692696858037e-01
1.016149765730582688e+00 7.887918250144322629e-04 9.992112037764198096e-01
1.020227796113678531e+00 7.837045642347480927e-04 9.992162911099615741e-01
1.024322192521120556e+00 7.786237184742975147e-04 9.992213720269776944e-01
1.028433020633330086e+00 7.734937550235151602e-04 9.992265020612577375e-01
1.032560346394316930e+00 7.684754594840780819e-04 9.992315204241049020e-01
1.036704236012741864e+00 7.635736925327435290e-04 9.992364222544273256e-01
1.040864755962972232e+00 7.587806371723825874e-04 9.992412153698504440e-01
1.045041972986152645e+00 7.540860828022799556e-04 9.992459099817982970e-01
1.049235954091274348e+00 7.495888309122738071e-04 9.992504072867989251e-01
1.053446766556250358e+00 7.450769537992010848e-04 9.992549192168559413e-01
1.057674477928994383e+00 7.405487994240090308e-04 9.992594474242446623e-01
1.061919156028505062e+00 7.359894978999161107e-04 9.992640067790045100e-01
1.066180868945952875e+00 7.313330846507666745e-04 9.992686632463992913e-01
1.070459685045773490e+00 7.265147880370705384e-04 9.992734815991458630e-01
1.074755672966763997e+00 7.216701055364777712e-04 9.992783263374832581e-01
1.079068901623183363e+00 7.167761779979423637e-04 9.992832203205959107e-01
1.083399440205859099e+00 7.118597067261754271e-04 9.992881368469118675e-01
1.087747358183296154e+00 7.071123223128443578e-04 9.992928842839569059e-01
1.092112725302792020e+00 7.025121185789231278e-04 9.992974845377915472e-01
1.096495611591554953e+00 6.981018157923654264e-04 9.993018948885054042e-01
1.100896087357827957e+00 6.939557165616343616e-04 9.993060410329746013e-01
1.105314223192016554e+00 6.900076970348832314e-04 9.993099890956780307e-01
1.109750089967820097e+00 6.860681876377930713e-04 9.993139286479187922e-01
1.114203758843370418e+00 6.821509423649807198e-04 9.993178459355119836e-01
1.118675301262372024e+00 6.782500228384640093e-04 9.993217468969204376e-01
1.123164788955248516e+00 6.743259418564148330e-04 9.993256710198942239e-01
1.127672293940293446e+00 6.703603606094059959e-04 9.993296366435470146e-01
1.132197888524825613e+00 6.663636985097277097e-04 9.993336333482890632e-01
1.136741645306348358e+00 6.623868840698741078e-04 9.993376102047601961e-01
1.141303637173715080e+00 6.583710373514620271e-04 9.993416260934137041e-01
1.145883937308297851e+00 6.543648963956172912e-04 9.993456322757825472e-01
1.150482619185161814e+00 6.504992968097303516e-04 9.993494979151322788e-01
1.155099756574242909e+00 6.468485854291471061e-04 9.993531486639027905e-01
1.159735423541532473e+00 6.433246172840091951e-04 9.993566726679592449e-01
1.164389694450264523e+00 6.398068704265915145e-04 9.993601904504521016e-01
1.169062643962109238e+00 6.363125889311306311e-04 9.993636847670606116e-01
1.173754347038370005e+00 6.328298245169153638e-04 9.993671675662310072e-01
1.178464878941186234e+00 6.292939178408290092e-04 9.993707034946894829e-01
1.183194315234741056e+00 6.257414666340402982e-04 9.993742559881273468e-01
1.187942731786472805e+00 6.222227087779087264e-04 9.993777747867884642e-01
1.192710204768292703e+00 6.187376601854971533e-04 9.993812598745783760e-01
1.197496810657805888e+00 6.152862549141652334e-04 9.993847113174494368e-01
1.202302626239539318e+00 6.118727797169908013e-04 9.993881248301252906e-01
1.207127728606172790e+00 6.084900262302068595e-04 9.993915076185686530e-01
1.211972195159775723e+00 6.051377190075547243e-04 9.993948599581625736e-01
1.216836103613049280e+00 6.018132150558062584e-04 9.993981844910456713e-01
1.221719531990572039e+00 5.985208678875150647e-04 9.994014768651892089e-01
1.226622558630052762e+00 5.952616247265755164e-04 9.994047361337132784e-01
1.231545262183586287e+00 5.920005122240269441e-04 9.994079972684677404e-01
1.236487721618914959e+00 5.887898574966864400e-04 9.994112079446039187e-01
1.241450016220696950e+00 5.856559618521365966e-04 9.994143418619605423e-01
1.246432225591776133e+00 5.826247252750779617e-04 9.994173731197393273e-01
1.251434429654460168e+00 5.796616580509375040e-04 9.994203362087272779e-01
1.256456708651802368e+00 5.767370342795215135e-04 9.994232608557476194e-01
1.261499143148889335e+00 5.739007367775864413e-04 9.994260971785320358e-01
1.266561814034131928e+00 5.710943054899246616e-04 9.994289036364897294e-01
1.271644802520564888e+00 5.682461011395577820e-04 9.994317518680997381e-01
1.276748190147148021e+00 5.653615332383622218e-04 9.994346364649807635e-01
1.281872058780074486e+00 5.624349641060291715e-04 9.994375630635345953e-01
1.287016490614085074e+00 5.594584069874751703e-04 9.994405396487211490e-01
1.292181568173785156e+00 5.563639948295641445e-04 9.994436340879484515e-01
1.297367374314969846e+00 5.532323465384809263e-04 9.994467657618875123e-01
1.302573992225952493e+00 5.501655526540250030e-04 9.994498325794758387e-01
1.307801505428899169e+00 5.471238973774180878e-04 9.994528742556767487e-01
1.313049997781168710e+00 5.441597928152616887e-04 9.994558383795230094e-01
1.318319553476657635e+00 5.413220273281283725e-04 9.994586761637178629e-01
1.323610257047151295e+00 5.386546679885370528e-04 9.994613435403137958e-01
1.328922193363679227e+00 5.360891315853025599e-04 9.994639090938853832e-01
1.334255447637876513e+00 5.335853715194130474e-04 9.994664128718262486e-01
1.339610105423352016e+00 5.312188149630369099e-04 9.994687794473303688e-01
1.344986252617059064e+00 5.288570108045912528e-04 9.994711412708732201e-01
1.350383975460674568e+00 5.264595824549086946e-04 9.994735387188458109e-01
1.355803360541981917e+00 5.240100667145045727e-04 9.994759882547834540e-01
1.361244494796260307e+00 5.214794274679758783e-04 9.994785189153918559e-01
1.366707465507678743e+00 5.189710801467771429e-04 9.994810272831251563e-01
1.372192360310697357e+00 5.164850221220674284e-04 9.994835133606150279e-01
1.377699267191471622e+00 5.139648746566962464e-04 9.994860335266506635e-01
1.383228274489265219e+00 5.114888126684680484e-04 9.994885096062476881e-01
1.388779470897866242e+00 5.090958409612809628e-04 9.994909025945738490e-01
1.394352945467010274e+00 5.068035870504893894e-04 9.994931948636351926e-01
1.399948787603809253e+00 5.045847419268177040e-04 9.994954137231893965e-01
1.405567087074184984e+00 5.024251001177991709e-04 9.994975733790983918e-01
1.411207934004309328e+00 5.003874753101705949e-04 9.994996110172237325e-01
1.416871418882050371e+00 4.983727206986546905e-04 9.995016257850914965e-01
1.422557632558423935e+00 4.963337359097533350e-04 9.995036647834157906e-01
1.428266666249050409e+00 4.942646484235330845e-04 9.995057338849986373e-01
1.433998611535618473e+00 4.921754426644136659e-04 9.995078231049365769e-01
1.439753560367353913e+00 4.900697130351354793e-04 9.995099288486559708e-01
1.445531605062494895e+00 4.878722555706505601e-04 9.995121263205051232e-01
1.451332838309772999e+00 4.857202769989743540e-04 9.995142783130520625e-01
1.457157353169899361e+00 4.836427596445560281e-04 9.995163558438266982e-01
1.463005243077058815e+00 4.816285409752485425e-04 9.995183700750860378e-01
1.468876601840407137e+00 4.796997447072500658e-04 9.995202988836708879e-01
1.474771523645577398e+00 4.778672406101398145e-04 9.995221313998295942e-01
1.480690103056189200e+00 4.762010144236565406e-04 9.995237976376293298e-01
1.486632435015367459e+00 4.745174207862570045e-04 9.995254812429528180e-01
1.492598614847264082e+00 4.728164600871997102e-04 9.995271822154101482e-01
1.498588738258587849e+00 4.711001801418083297e-04 9.995288985072457999e-01
1.504602901340138965e+00 4.693663280045877700e-04 9.995306323713372132e-01
1.510641200568351383e+00 4.676125329649787445e-04 9.995323861783228514e-01
1.516703732806839566e+00 4.658384478289067645e-04 9.995341602753999855e-01
1.522790595307953465e+00 4.640403766776873959e-04 9.995359583585302632e-01
1.528901885714337050e+00 4.622430934600451897e-04 9.995377556537031749e-01
1.535037702060496168e+00 4.604074855160423261e-04 9.995395912739256650e-01
