#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	4.86160	11.91840	-0.02239	-0.00000
11.91840	4.86160	13.01150	0.00036	0.00000
11.91840	4.86160	14.20490	0.00029	0.00000
11.91840	4.86160	15.50770	0.00022	0.00000
11.91840	4.86160	16.93000	0.00017	0.00000
11.91840	4.86160	18.48280	0.00013	0.00000
11.91840	4.86160	20.17790	0.00010	0.00000
11.91840	4.86160	22.02860	0.00007	0.00000
11.91840	4.86160	24.04890	0.00005	0.00000
11.91840	4.86160	26.25460	0.00004	0.00000
11.91840	4.86160	28.66250	0.00002	0.00000
11.91840	4.86160	31.29130	0.00002	0.00000
11.91840	4.86160	34.16130	0.00001	0.00000
11.91840	4.86160	37.29440	0.00001	0.00000
11.91840	4.86160	40.71490	0.00001	0.00000
11.91840	4.86160	44.44910	0.00000	0.00000
11.91840	4.86160	48.52570	0.00000	0.00000
11.91840	4.86160	52.97630	0.00000	0.00000
11.91840	4.86160	57.83510	0.00000	0.00000
11.91840	4.86160	63.13940	0.00000	0.00000
11.91840	4.86160	68.93030	0.00000	0.00000
11.91840	4.86160	75.25230	0.00000	0.00000
11.91840	4.86160	82.15410	0.00000	0.00000
11.91840	4.86160	89.68890	0.00000	0.00000
11.91840	4.86160	97.91480	0.00000	0.00000
11.91840	4.86160	106.89500	0.00000	0.00000
11.91840	4.86160	116.69900	0.00000	0.00000
11.91840	4.86160	127.40200	0.00000	0.00000
11.91840	4.86160	139.08700	0.00000	0.00000
11.91840	4.86160	151.84400	0.00000	0.00000
11.91840	4.86160	165.77000	0.00000	0.00000
11.91840	4.86160	180.97400	0.00000	0.00000
11.91840	4.86160	197.57200	0.00000	0.00000
11.91840	4.86160	215.69200	0.00000	0.00000
11.91840	4.86160	235.47500	0.00000	0.00000
11.91840	4.86160	257.07100	0.00000	0.00000
11.91840	4.86160	280.64900	0.00000	0.00000
11.91840	4.86160	306.38900	0.00000	0.00000
11.91840	4.86160	334.48900	0.00000	0.00000
11.91840	4.86160	365.16700	0.00000	0.00000
11.91840	4.86160	398.65900	0.00000	0.00000
11.91840	4.86160	435.22200	0.00000	0.00000
11.91840	4.86160	475.13900	0.00000	0.00000
11.91840	4.86160	518.71700	0.00000	0.00000
11.91840	4.86160	566.29100	0.00000	0.00000
11.91840	4.86160	618.22900	0.00000	0.00000
11.91840	4.86160	674.93000	0.00000	0.00000
11.91840	4.86160	736.83200	0.00000	0.00000
11.91840	4.86160	804.41100	0.00000	0.00000
11.91840	4.86160	878.18800	0.00000	0.00000
11.91840	4.86160	958.73200	0.00000	0.00000
11.91840	4.86160	1046.66000	0.00000	0.00000
11.91840	4.86160	1142.66000	0.00000	0.00000
11.91840	4.86160	1247.46000	0.00000	0.00000
11.91840	4.86160	1361.87000	0.00000	0.00000
11.91840	4.86160	1486.77000	0.00000	0.00000
11.91840	4.86160	1623.13000	0.00000	0.00000
11.91840	4.86160	1772.00000	0.00000	0.00000
11.91840	4.86160	1934.52000	0.00000	0.00000
11.91840	4.86160	2111.95000	0.00000	0.00000
11.91840	4.86160	2305.65000	0.00000	0.00000
11.91840	4.86160	2517.11000	0.00000	0.00000
11.91840	4.86160	2747.97000	0.00000	0.00000
11.91840	5.09412	11.91840	-0.00783	-0.00000
11.91840	5.09412	13.01150	0.00034	0.00001
11.91840	5.09412	14.20490	0.00027	0.00000
11.91840	5.09412	15.50770	0.00021	0.00000
11.91840	5.09412	16.93000	0.00016	0.00000
11.91840	5.09412	18.48280	0.00012	0.00000
11.91840	5.09412	20.17790	0.00009	0.00000
11.91840	5.09412	22.02860	0.00007	0.00000
11.91840	5.09412	24.04890	0.00005	0.00000
11.91840	5.09412	26.25460	0.00003	0.00000
11.91840	5.09412	28.66250	0.00002	0.00000
11.91840	5.09412	31.29130	0.00002	0.00000
11.91840	5.09412	34.16130	0.00001	0.00000
11.91840	5.09412	37.29440	0.00001	0.00000
11.91840	5.09412	40.71490	0.00000	0.00000
11.91840	5.09412	44.44910	0.00000	0.00000
11.91840	5.09412	48.52570	0.00000	0.00000
11.91840	5.09412	52.97630	0.00000	0.00000
11.91840	5.09412	57.83510	0.00000	0.00000
11.91840	5.09412	63.13940	0.00000	0.00000
11.91840	5.09412	68.93030	0.00000	0.00000
11.91840	5.09412	75.25230	0.00000	0.00000
11.91840	5.09412	82.15410	0.00000	0.00000
11.91840	5.09412	89.68890	0.00000	0.00000
11.91840	5.09412	97.91480	0.00000	0.00000
11.91840	5.09412	106.89500	0.00000	0.00000
11.91840	5.09412	116.69900	0.00000	0.00000
11.91840	5.09412	127.40200	0.00000	0.00000
11.91840	5.09412	139.08700	0.00000	0.00000
11.91840	5.09412	151.84400	0.00000	0.00000
11.91840	5.09412	165.77000	0.00000	0.00000
11.91840	5.09412	180.97400	0.00000	0.00000
11.91840	5.09412	197.57200	0.00000	0.00000
11.91840	5.09412	215.69200	0.00000	0.00000
11.91840	5.09412	235.47500	0.00000	0.00000
11.91840	5.09412	257.07100	0.00000	0.00000
11.91840	5.09412	280.64900	0.00000	0.00000
11.91840	5.09412	306.38900	0.00000	0.00000
11.91840	5.09412	334.48900	0.00000	0.00000
11.91840	5.09412	365.16700	0.00000	0.00000
