#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	3.93150	736.83200	0.00000	0.00000
11.91840	3.93150	804.41100	0.00000	0.00000
11.91840	3.93150	878.18800	0.00000	0.00000
11.91840	3.93150	958.73200	0.00000	0.00000
11.91840	3.93150	1046.66000	0.00000	0.00000
11.91840	3.93150	1142.66000	0.00000	0.00000
11.91840	3.93150	1247.46000	0.00000	0.00000
11.91840	3.93150	1361.87000	0.00000	0.00000
11.91840	3.93150	1486.77000	0.00000	0.00000
11.91840	3.93150	1623.13000	0.00000	0.00000
11.91840	3.93150	1772.00000	0.00000	0.00000
11.91840	3.93150	1934.52000	0.00000	0.00000
11.91840	3.93150	2111.95000	0.00000	0.00000
11.91840	3.93150	2305.65000	0.00000	0.00000
11.91840	3.93150	2517.11000	0.00000	0.00000
11.91840	3.93150	2747.97000	0.00000	0.00000
11.91840	4.16402	11.91840	0.00577	0.00007
11.91840	4.16402	13.01150	0.00047	0.00013
11.91840	4.16402	14.20490	0.00045	0.00013
11.91840	4.16402	15.50770	0.00042	0.00014
11.91840	4.16402	16.93000	0.00039	0.00014
11.91840	4.16402	18.48280	0.00036	0.00016
11.91840	4.16402	20.17790	0.00033	0.00018
11.91840	4.16402	22.02860	0.00031	0.00020
11.91840	4.16402	24.04890	0.00027	0.00023
11.91840	4.16402	26.25460	0.00025	0.00027
11.91840	4.16402	28.66250	0.00022	0.00033
11.91840	4.16402	31.29130	0.00020	0.00039
11.91840	4.16402	34.16130	0.00018	0.00046
11.91840	4.16402	37.29440	0.00016	0.00056
11.91840	4.16402	40.71490	0.00014	0.00067
11.91840	4.16402	44.44910	0.00012	0.00080
11.91840	4.16402	48.52570	0.00010	0.00093
11.91840	4.16402	52.97630	0.00009	0.00111
11.91840	4.16402	57.83510	0.00008	0.00129
11.91840	4.16402	63.13940	0.00006	0.00147
11.91840	4.16402	68.93030	0.00005	0.00162
11.91840	4.16402	75.25230	0.00005	0.00177
11.91840	4.16402	82.15410	0.00004	0.00184
11.91840	4.16402	89.68890	0.00003	0.00184
11.91840	4.16402	97.91480	0.00003	0.00173
11.91840	4.16402	106.89500	0.00002	0.00157
11.91840	4.16402	116.69900	0.00002	0.00132
11.91840	4.16402	127.40200	0.00001	0.00105
11.91840	4.16402	139.08700	0.00001	0.00076
11.91840	4.16402	151.84400	0.00001	0.00053
11.91840	4.16402	165.77000	0.00001	0.00033
11.91840	4.16402	180.97400	0.00001	0.00019
11.91840	4.16402	197.57200	0.00001	0.00010
11.91840	4.16402	215.69200	0.00001	0.00005
11.91840	4.16402	235.47500	0.00002	0.00002
11.91840	4.16402	257.07100	0.00002	0.00001
11.91840	4.16402	280.64900	0.00003	0.00000
11.91840	4.16402	306.38900	0.00004	0.00000
11.91840	4.16402	334.48900	0.00004	0.00000
11.91840	4.16402	365.16700	0.00005	0.00000
11.91840	4.16402	398.65900	0.00005	0.00000
11.91840	4.16402	435.22200	0.00004	0.00000
11.91840	4.16402	475.13900	0.00003	0.00000
11.91840	4.16402	518.71700	0.00002	0.00000
11.91840	4.16402	566.29100	0.00001	0.00000
11.91840	4.16402	618.22900	0.00000	0.00000
11.91840	4.16402	674.93000	0.00000	0.00000
11.91840	4.16402	736.83200	0.00000	0.00000
11.91840	4.16402	804.41100	0.00000	0.00000
11.91840	4.16402	878.18800	0.00000	0.00000
11.91840	4.16402	958.73200	0.00000	0.00000
11.91840	4.16402	1046.66000	0.00000	0.00000
11.91840	4.16402	1142.66000	0.00000	0.00000
11.91840	4.16402	1247.46000	0.00000	0.00000
11.91840	4.16402	1361.87000	0.00000	0.00000
11.91840	4.16402	1486.77000	0.00000	0.00000
11.91840	4.16402	1623.13000	0.00000	0.00000
11.91840	4.16402	1772.00000	0.00000	0.00000
11.91840	4.16402	1934.52000	0.00000	0.00000
11.91840	4.16402	2111.95000	0.00000	0.00000
11.91840	4.16402	2305.65000	0.00000	0.00000
11.91840	4.16402	2517.11000	0.00000	0.00000
11.91840	4.16402	2747.97000	0.00000	0.00000
11.91840	4.39655	11.91840	0.00903	0.00008
11.91840	4.39655	13.01150	0.00046	0.00015
11.91840	4.39655	14.20490	0.00044	0.00013
11.91840	4.39655	15.50770	0.00041	0.00011
11.91840	4.39655	16.93000	0.00038	0.00010
11.91840	4.39655	18.48280	0.00036	0.00009
11.91840	4.39655	20.17790	0.00033	0.00009
11.91840	4.39655	22.02860	0.00030	0.00008
11.91840	4.39655	24.04890	0.00027	0.00008
11.91840	4.39655	26.25460	0.00025	0.00008
11.91840	4.39655	28.66250	0.00022	0.00009
11.91840	4.39655	31.29130	0.00020	0.00009
11.91840	4.39655	34.16130	0.00017	0.00010
11.91840	4.39655	37.29440	0.00015	0.00012
11.91840	4.39655	40.71490	0.00014	0.00014
11.91840	4.39655	44.44910	0.00012	0.00016
11.91840	4.39655	48.52570	0.00010	0.00019
11.91840	4.39655	52.97630	0.00009	0.00023
